satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,INCLINATION,ORBIT_CLASS,collision_score,pc_annual,pc_annual_pct,n_events_total,n_high_risk,n_medium_risk,n_low_risk,n_emergency,avg_miss_distance_m,min_miss_distance_m,max_pc_event,max_pc_event_pct,events_per_month_estimated,data_quality,data_source,extrapolated,data_period_days,imputation_confidence,n_peers_used
44791,AQT-D,JPN,PAYLOAD,176.0,51.61,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44792,NARSSCUBE-1,EGYP,PAYLOAD,168.0,51.62,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44804,CARTOSAT-3,IND,PAYLOAD,508.0,97.47,LEO,80.2,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_14,False,0,MEDIUM,14.0
44807,FLOCK 4P-9,US,PAYLOAD,179.0,97.33,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44809,FLOCK 4P-11,US,PAYLOAD,165.0,97.3,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44814,FLOCK 4P-1,US,PAYLOAD,174.5,97.34,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44815,FLOCK 4P-8,US,PAYLOAD,163.5,97.3,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44819,GAOFEN-12 01,PRC,PAYLOAD,627.5,97.82,LEO,87.9,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_20,False,0,MEDIUM,20.0
44821,DRAGON CRS-19,US,PAYLOAD,418.5,51.65,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44827,NOOR 1A (UNICORN-2B),US,PAYLOAD,180.0,96.93,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44828,NOOR 1B (UNICORN-2C),US,PAYLOAD,166.5,96.97,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44829,FOSSASAT-1,SPN,PAYLOAD,193.5,96.93,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44832,SMOG-P,HUN,PAYLOAD,162.0,96.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44833,PROGRESS-MS 13,CIS,PAYLOAD,419.0,51.64,LEO,54.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44835,COSMOS 2543,CIS,PAYLOAD,242.5,97.72,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
