satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,ORBIT_CLASS,bors_score,age_factor,tri,operator_heritage_index,infant_mortality_flag,cqi,hi,mri,svi,age_years,expected_lifetime_years,launch_mass_kg,contractor_tier,operator_tier,purpose
4573,COSMOS 369,CIS,PAYLOAD,201.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.02,12,800.0,3,3,Communications
4576,COSMOS 370,CIS,PAYLOAD,224.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.01,12,800.0,3,3,Communications
4578,COSMOS 371,CIS,PAYLOAD,707.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.01,12,800.0,3,3,Communications
4580,INTERCOSMOS 4,CIS,PAYLOAD,211.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.0,12,800.0,3,3,Communications
4588,COSMOS 372,CIS,PAYLOAD,769.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,55.0,12,800.0,3,3,Communications
4594,COSMOS 374,CIS,PAYLOAD,1276.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.98,12,800.0,3,3,Communications
4596,OPS 7568,US,PAYLOAD,276.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.98,12,800.0,3,3,Communications
4598,COSMOS 375,CIS,PAYLOAD,1272.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.96,12,800.0,3,3,Communications
4599,COSMOS 376,CIS,PAYLOAD,237.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.96,12,800.0,3,3,Communications
4692,RMS,US,PAYLOAD,175.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.93,12,800.0,3,3,Communications
4695,COSMOS 377,CIS,PAYLOAD,233.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.92,12,800.0,3,3,Communications
4722,OPS 6829,US,PAYLOAD,200.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.9,12,800.0,3,3,Communications
4760,COSMOS 379,CIS,PAYLOAD,164.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.89,12,800.0,3,3,Communications
4762,COSMOS 380,CIS,PAYLOAD,177.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.89,12,800.0,3,3,Communications
4783,COSMOS 381,CIS,PAYLOAD,981.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.87,12,800.0,3,3,Communications
4787,COSMOS 383,CIS,PAYLOAD,248.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.86,12,800.0,3,3,Communications
4791,COSMOS 384,CIS,PAYLOAD,241.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.84,12,800.0,3,3,Communications
4793,NOAA 1,US,PAYLOAD,1448.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.84,12,800.0,3,3,Communications
4797,EXPLORER 42 (SAS-1),US,PAYLOAD,272.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.84,12,800.0,3,3,Communications
4799,COSMOS 385,CIS,PAYLOAD,975.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.84,12,800.0,3,3,Communications
4801,PEOLE,FR,PAYLOAD,226.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.84,12,800.0,3,3,Communications
4804,COSMOS 386,CIS,PAYLOAD,272.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.83,12,800.0,3,3,Communications
4806,COSMOS 387,CIS,PAYLOAD,169.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.83,12,800.0,3,3,Communications
4845,COSMOS 390,CIS,PAYLOAD,228.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.75,12,800.0,3,3,Communications
4847,COSMOS 391,CIS,PAYLOAD,172.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.75,12,800.0,3,3,Communications
4872,COSMOS 392,CIS,PAYLOAD,232.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.73,12,800.0,3,3,Communications
4874,OPS 7776,US,PAYLOAD,263.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.73,12,800.0,3,3,Communications
4884,COSMOS 393,CIS,PAYLOAD,238.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.72,12,800.0,3,3,Communications
4922,COSMOS 394,CIS,PAYLOAD,431.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.68,12,800.0,3,3,Communications
4952,TANSEI-1 (MS-T1),JPN,PAYLOAD,1041.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4953,OPS 5268 (DMSP 5A F3),US,PAYLOAD,752.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4955,COSMOS 395,CIS,PAYLOAD,181.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4957,OPS 5268 (CALSPHERE 3),US,PAYLOAD,186.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4958,OPS 5268 (CALSPHERE 4),US,PAYLOAD,211.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4959,COSMOS 396,CIS,PAYLOAD,236.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.65,12,800.0,3,3,Communications
4963,OPS 5268 (CALSPHERE 5),US,PAYLOAD,179.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.66,12,800.0,3,3,Communications
4964,COSMOS 397,CIS,PAYLOAD,1362.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.63,12,800.0,3,3,Communications
5003,COSMOS 399,CIS,PAYLOAD,305.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.62,12,800.0,3,3,Communications
5050,COSMOS 400,CIS,PAYLOAD,992.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.58,12,800.0,3,3,Communications
5059,OPS 5300,US,PAYLOAD,164.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.56,12,800.0,3,3,Communications
5086,COSMOS 401,CIS,PAYLOAD,289.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.55,12,800.0,3,3,Communications
5104,ISIS 2,CA,PAYLOAD,1390.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.54,12,800.0,3,3,Communications
5105,COSMOS 402,CIS,PAYLOAD,988.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.54,12,800.0,3,3,Communications
5108,COSMOS 403,CIS,PAYLOAD,207.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.54,12,800.0,3,3,Communications
5113,COSMOS 404,CIS,PAYLOAD,392.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.53,12,800.0,3,3,Communications
5124,COSMOS 406,CIS,PAYLOAD,221.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.5,12,800.0,3,3,Communications
5160,SALYUT 1,CIS,PAYLOAD,179.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.49,12,800.0,3,3,Communications
5171,OPS 7899,US,PAYLOAD,224.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.48,12,800.0,3,3,Communications
5172,SOYUZ 10,CIS,PAYLOAD,205.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.48,12,800.0,3,3,Communications
5174,COSMOS 407,CIS,PAYLOAD,778.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.48,12,800.0,3,3,Communications
5176,SAN MARCO 3,IT,PAYLOAD,452.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.48,12,800.0,3,3,Communications
5177,COSMOS 408,CIS,PAYLOAD,181.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.48,12,800.0,3,3,Communications
5180,COSMOS 409,CIS,PAYLOAD,1193.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.46,12,800.0,3,3,Communications
5207,COSMOS 410,CIS,PAYLOAD,232.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5210,COSMOS 411,CIS,PAYLOAD,1402.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5211,COSMOS 412,CIS,PAYLOAD,1507.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5212,COSMOS 413,CIS,PAYLOAD,1490.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5213,COSMOS 414,CIS,PAYLOAD,1459.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5214,COSMOS 415,CIS,PAYLOAD,1475.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5215,COSMOS 416,CIS,PAYLOAD,1431.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5216,COSMOS 417,CIS,PAYLOAD,1417.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5217,COSMOS 418,CIS,PAYLOAD,1445.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.44,12,800.0,3,3,Communications
5230,COSMOS 420,CIS,PAYLOAD,252.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.41,12,800.0,3,3,Communications
5232,COSMOS 421,CIS,PAYLOAD,161.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.41,12,800.0,3,3,Communications
5238,COSMOS 422,CIS,PAYLOAD,991.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.4,12,800.0,3,3,Communications
5246,COSMOS 423,CIS,PAYLOAD,165.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.38,12,800.0,3,3,Communications
5248,COSMOS 424,CIS,PAYLOAD,237.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.38,12,800.0,3,3,Communications
5253,COSMOS 425,CIS,PAYLOAD,162.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.38,12,800.0,3,3,Communications
5283,SOYUZ 11,CIS,PAYLOAD,231.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.36,12,800.0,3,3,Communications
