NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_SITE,LAUNCH_YEAR,PERIOD,INCLINATION,APOGEE,PERIGEE,ALTITUDE_MEAN_KM,ORBIT_CLASS
533,FTV 0240,US,PAYLOAD,D,1963-02-19,AFWTR,1963,87.8,100.41,173.0,158.0,165.5,LEO
554,COSMOS 13,CIS,PAYLOAD,D,1963-03-21,TYMSC,1963,89.66,64.91,320.0,195.0,257.5,LEO
562,FTV 1660,US,PAYLOAD,D,1963-04-01,AFWTR,1963,88.73,75.4,231.0,193.0,212.0,LEO
564,EXPLORER 17 (S-6),US,PAYLOAD,D,1963-04-03,AFETR,1963,87.86,57.64,186.0,151.0,168.5,LEO
567,COSMOS 14,CIS,PAYLOAD,D,1963-04-13,KYMSC,1963,88.3,48.89,190.0,190.0,190.0,LEO
569,COSMOS 15,CIS,PAYLOAD,D,1963-04-22,TYMSC,1963,89.64,64.93,348.0,165.0,256.5,LEO
571,COSMOS 16,CIS,PAYLOAD,D,1963-04-28,TYMSC,1963,90.22,64.98,380.0,191.0,285.5,LEO
576,MERCURY ATLAS 9,US,PAYLOAD,D,1963-05-15,AFETR,1963,88.79,32.54,266.0,163.0,214.5,LEO
578,FTV 1110,US,PAYLOAD,D,1963-05-18,AFWTR,1963,89.58,74.54,381.0,127.0,254.0,LEO
579,ERS 5,US,PAYLOAD,D,1963-05-09,AFWTR,1963,89.33,84.23,266.0,216.0,241.0,LEO
580,COSMOS 17,CIS,PAYLOAD,D,1963-05-22,KYMSC,1963,88.39,48.94,213.0,177.0,195.0,LEO
586,COSMOS 18,CIS,PAYLOAD,D,1963-05-24,TYMSC,1963,89.33,64.91,279.0,204.0,241.5,LEO
590,THOR AGENA D,US,PAYLOAD,D,1963-06-12,AFWTR,1963,88.46,81.82,226.0,171.0,198.5,LEO
591,VOSTOK 5,CIS,PAYLOAD,D,1963-06-14,TYMSC,1963,87.72,64.92,164.0,159.0,161.5,LEO
594,TRANSIT 5A-3,US,PAYLOAD,D,1963-06-16,AFWTR,1963,87.64,89.78,168.0,147.0,157.5,LEO
595,VOSTOK 6,CIS,PAYLOAD,D,1963-06-16,TYMSC,1963,88.04,64.92,192.0,163.0,177.5,LEO
597,SURCAL 1B,US,PAYLOAD,D,1963-06-15,AFWTR,1963,90.32,69.82,420.0,160.0,290.0,LEO
598,FTV 1292,US,PAYLOAD,D,1963-06-15,AFWTR,1963,88.64,69.88,262.0,153.0,207.5,LEO
599,SOLRAD 6,US,PAYLOAD,D,1963-06-15,AFWTR,1963,88.73,69.86,275.0,148.0,211.5,LEO
600,RADOSE 112,US,PAYLOAD,D,1963-06-15,AFWTR,1963,89.23,69.89,324.0,150.0,237.0,LEO
601,LOFTI 2A,US,PAYLOAD,D,1963-06-15,AFWTR,1963,88.47,69.86,245.0,153.0,199.0,LEO
604,TIROS 7,US,PAYLOAD,D,1963-06-19,AFETR,1963,88.32,58.17,194.0,188.0,191.0,LEO
609,THOR AGENA D,US,PAYLOAD,D,1963-06-27,AFWTR,1963,88.18,81.59,204.0,165.0,184.5,LEO
612,GRS,US,PAYLOAD,D,1963-06-28,WLPIS,1963,87.44,49.64,151.0,144.0,147.5,LEO
613,THOR AGENA B,US,PAYLOAD,D,1963-06-29,AFWTR,1963,87.95,82.28,173.0,173.0,173.0,LEO
614,HITCH HIKER 1,US,PAYLOAD,D,1963-06-27,AFWTR,1963,88.56,81.92,235.0,171.0,203.0,LEO
618,ATLAS AGENA D,US,PAYLOAD,D,1963-07-12,AFWTR,1963,87.76,95.37,164.0,164.0,164.0,LEO
621,THOR AGENA D,US,PAYLOAD,D,1963-07-19,AFWTR,1963,88.04,82.86,180.0,174.0,177.0,LEO
624,DASH 2,US,PAYLOAD,D,1963-07-19,AFWTR,1963,92.54,84.31,529.0,269.0,399.0,LEO
626,THOR AGENA D,US,PAYLOAD,D,1963-07-31,AFWTR,1963,90.6,74.9,455.0,152.0,303.5,LEO
632,COSMOS 19,CIS,PAYLOAD,D,1963-08-06,KYMSC,1963,88.69,49.0,217.0,202.0,209.5,LEO
636,THOR AGENA D,US,PAYLOAD,D,1963-08-25,AFWTR,1963,89.4,75.0,320.0,161.0,240.5,LEO
637,THOR AGENA D,US,PAYLOAD,D,1963-08-29,AFWTR,1963,88.48,81.88,200.0,199.0,199.5,LEO
