NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_YEAR,AGE_YEARS,ALTITUDE_MEAN_KM,INCLINATION,APOGEE,PERIGEE,PERIOD,ORBIT_CLASS,LAUNCH_MASS_KG,MASS_SOURCE,EXPECTED_LIFETIME_YEARS,CONTRACTOR_TIER,OPERATOR_TIER,PURPOSE,DATA_COMPLETENESS_SCORE,MASS_ESTIMATED,TIER_INFERRED,PURPOSE_INFERRED,LIFETIME_ESTIMATED
180,EXPLORER 13,US,PAYLOAD,D,1961-08-25,1961,64.13689253935661,587.5,36.42,810.0,365.0,96.43,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
181,DISCOVERER 29,US,PAYLOAD,D,1961-08-30,1961,64.12320328542094,310.5,82.08,490.0,131.0,90.73,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
182,DISCOVERER 30,US,PAYLOAD,D,1961-09-12,1961,64.08761122518823,235.5,82.62,281.0,190.0,89.21,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
183,MERCURY ATLAS 4,US,PAYLOAD,D,1961-09-13,1961,64.0848733744011,195.0,32.54,241.0,149.0,88.4,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
186,DISCOVERER 31,US,PAYLOAD,D,1961-09-17,1961,64.07392197125257,256.5,82.68,304.0,209.0,89.63,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
189,DISCOVERER 32,US,PAYLOAD,D,1961-10-13,1961,64.00273785078713,218.0,81.64,232.0,204.0,88.87,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
197,DISCOVERER 34,US,PAYLOAD,D,1961-11-05,1961,63.93976728268309,225.0,82.49,246.0,204.0,89.0,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
201,DISCOVERER 35,US,PAYLOAD,D,1961-11-15,1961,63.912388774811774,216.0,81.63,216.0,216.0,88.82,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
202,TRANSIT 4B,US,PAYLOAD,,1961-11-15,1961,63.912388774811774,1022.0,32.44,1097.0,947.0,105.59,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
205,TRAAC,US,PAYLOAD,,1961-11-15,1961,63.912388774811774,1026.5,32.44,1102.0,951.0,105.68,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
208,MERCURY ATLAS 5,US,PAYLOAD,D,1961-11-29,1961,63.87405886379192,197.5,32.6,237.0,158.0,88.3,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
213,DISCOVERER 36,US,PAYLOAD,D,1961-12-12,1961,63.83846680355921,200.5,81.18,207.0,194.0,88.5,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
214,OSCAR 1,US,PAYLOAD,D,1961-12-12,1961,63.83846680355921,207.0,81.14,207.0,207.0,88.63,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
215,DISCOVERER 36 CAPSULE,US,PAYLOAD,D,1961-12-12,1961,63.83846680355921,281.0,81.21,327.0,235.0,90.14,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
217,SAMOS 5,US,PAYLOAD,D,1961-12-22,1961,63.81108829568789,182.0,89.66,182.0,182.0,88.12,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
226,TIROS 4,US,PAYLOAD,-,1962-02-08,1962,63.67967145790554,735.5,48.3,790.0,681.0,99.52,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
240,MERCURY ATLAS 6,US,PAYLOAD,D,1962-02-20,1962,63.64681724845996,199.5,32.54,249.0,150.0,88.48,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
242,FTV 2301,US,PAYLOAD,D,1962-02-21,1962,63.644079397672826,194.5,81.94,220.0,169.0,88.39,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
247,DISCOVERER 38,US,PAYLOAD,D,1962-02-27,1962,63.62765229295003,191.5,82.23,201.0,182.0,88.32,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
266,COSMOS 1 (SPUTNIK 11),CIS,PAYLOAD,D,1962-03-16,1962,63.58110882956879,261.5,48.99,341.0,182.0,89.74,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
269,COSMOS 2 (SPUTNIK 12),CIS,PAYLOAD,D,1962-04-06,1962,63.52361396303901,194.0,48.86,231.0,157.0,88.37,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
276,FTV 1154,US,PAYLOAD,D,1962-04-18,1962,63.49075975359343,180.5,73.56,181.0,180.0,88.1,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
281,COSMOS 3 (SPUTNIK 13),CIS,PAYLOAD,D,1962-04-24,1962,63.474332648870636,223.0,48.95,253.0,193.0,88.96,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
285,ARIEL 1 (UK-1),UK,PAYLOAD,D,1962-04-26,1962,63.46885694729637,188.0,53.76,191.0,185.0,88.25,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
287,COSMOS 4 (SPUTNIK 14),CIS,PAYLOAD,D,1962-04-26,1962,63.46885694729637,195.0,65.0,205.0,185.0,90.6,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
290,FTV 1125,US,PAYLOAD,D,1962-04-28,1962,63.46338124572211,267.5,73.07,361.0,174.0,89.86,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
292,FTV 1126,US,PAYLOAD,D,1962-05-15,1962,63.41683778234086,201.0,82.29,208.0,194.0,88.51,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
295,MERCURY ATLAS 7,US,PAYLOAD,D,1962-05-24,1962,63.39219712525667,205.5,32.6,250.0,161.0,88.6,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
297,COSMOS 5 (SPUTNIK 15),CIS,PAYLOAD,D,1962-05-28,1962,63.38124572210815,207.5,48.96,271.0,144.0,88.64,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
302,FTV 1128,US,PAYLOAD,D,1962-05-30,1962,63.37577002053388,171.0,74.1,171.0,171.0,87.9,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
304,FTV 1127,US,PAYLOAD,D,1962-06-02,1962,63.36755646817249,216.0,74.25,243.0,189.0,88.83,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
305,OSCAR 2 (OSCAR II),US,PAYLOAD,D,1962-06-02,1962,63.36755646817249,201.0,74.27,292.0,110.0,88.51,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
307,SAMOS 8 (FTV 2402),US,PAYLOAD,D,1962-06-17,1962,63.3264887063655,199.0,96.3,199.0,199.0,88.48,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
308,FTV 2312,US,PAYLOAD,D,1962-06-18,1962,63.32375085557837,165.5,82.15,170.0,161.0,87.8,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
309,TIROS 5,US,PAYLOAD,-,1962-06-19,1962,63.32101300479124,693.0,58.09,819.0,567.0,98.62,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
